DT,N00_00,N00_15,N00_30,N00_45,N01_00,N01_15,N01_30,N01_45,N02_00,N02_15,N02_30,N02_45,N03_00,N03_15,N03_30,N03_45,N04_00,N04_15,N04_30,N04_45,N05_00,N05_15,N05_30,N05_45,N06_00,N06_15,N06_30,N06_45,N07_00,N07_15,N07_30,N07_45,N08_00,N08_15,N08_30,N08_45,N09_00,N09_15,N09_30,N09_45,N10_00,N10_15,N10_30,N10_45,N11_00,N11_15,N11_30,N11_45,N12_00,N12_15,N12_30,N12_45,N13_00,N13_15,N13_30,N13_45,N14_00,N14_15,N14_30,N14_45,N15_00,N15_15,N15_30,N15_45,N16_00,N16_15,N16_30,N16_45,N17_00,N17_15,N17_30,N17_45,N18_00,N18_15,N18_30,N18_45,N19_00,N19_15,N19_30,N19_45,N20_00,N20_15,N20_30,N20_45,N21_00,N21_15,N21_30,N21_45,N22_00,N22_15,N22_30,N22_45,N23_00,N23_15,N23_30,N23_45
2013/1/1,11524.36,11376.39,11171.17,10958.01,10888.04,10665.13,10574.35,10384.96,10165.13,10141.97,9974.934,9993.244,9967.451,9999.44,9957.841,9875.509,9870.027,9849.473,9840.845,9839.268,9879.561,9877.49,9886.226,9970.684,9960.375,10067.42,10206.45,10270.61,10358.72,10424.95,10493.26,10536.33,10715.62,11184.68,11768.6,12227.7,12496.45,12636.46,12853.28,12875.22,12963.33,13033.87,13131.66,13136.42,13241.47,13187.22,13037.23,12781.03,12554.64,12224.68,11891.34,11747.83,11544.97,11445.05,11323.65,11421.69,11363.56,11448.42,11402.94,11419.49,11379.54,11439.97,11381.45,11412,11481.43,11565.21,11845.1,12049.28,12284.82,12539.28,12735.25,12725.63,12568.39,12350.76,12416.11,12608.38,12835.8,12978.29,12945.04,12891.73,12816.28,12922.59,12949.49,12912.77,12825,12902.49,12709.21,12654.19,12465.41,12194.81,11894.16,11632.04,11405.67,11361.11,11214.8,10897.76
2013/1/2,10760.37,10435.63,10204.34,10099.4,9939.129,9840.299,9780.744,9695.447,9512.329,9501.847,9487.927,9471.657,9401.866,9354.396,9339.058,9337.041,9339.249,9324.931,9241.065,9285.629,9243.633,9319.092,9297.87,9392.792,9430.502,9581.28,9723.343,9857.711,9899.729,9912.811,10149.08,10381.77,10725.56,11263.09,11834.13,12191.71,12338.98,12397.91,12590.89,12746.74,12797.7,12906.23,12947.55,12859.92,12946.14,13033.4,12913.42,12629.4,12369.89,12089.29,11896.95,11767.98,11592.97,11658.71,11641.89,11597.41,11686.21,11742.71,11779.46,11868.77,11857.19,11897.85,11854.07,12002.65,12000.3,12176.64,12424.27,12646.69,12898.39,13091.68,13305.84,13268.26,13024.07,12806.05,12775.8,12893.7,13206.2,13227.64,13217.18,13108.37,13058.17,13041.39,13071.04,13039.79,12947.51,13032.82,12933.87,12748.9,12656.31,12391.4,12125.8,11898.46,11803.67,11809.83,11625.63,11424.28
2013/1/3,11057.55,10821.53,10693.33,10595.1,10572.89,10328.88,10314.42,10144.21,10087.03,10037.09,10019.5,9888.575,9897.396,9845.937,9763.75,9825.04,9744,9772.572,9810.577,9750.333,9698.639,9668.803,9708.87,9849.378,9856.165,9968.172,10079.73,10260.06,10338.11,10422.61,10539.04,10665.08,11043.59,11616.55,12103.27,12601.92,12821.44,12909.33,13247.39,13466.1,13524.13,13689.62,13867.72,13901.12,14103.36,14189.77,14199.79,14064.48,13755.11,13426.11,13277.97,13155.14,13118.53,13128.75,13157.47,13193.58,13233.18,13345.32,13341.95,13292.15,13287.15,13341.21,13431.38,13435.39,13613.79,13519.24,14034.86,14360.94,14514.55,14671.98,14813.19,14760.66,14417.42,14199.16,14017.99,14033.22,14156.64,14200.94,14208.49,14133.42,14062.99,14096.42,14154.91,14029.51,13886.91,13851.02,13586.26,13382.97,13190.91,12834.37,12403.93,12098.4,11917.62,11853.93,11605.79,11271.99
2013/1/4,10985.04,10827.88,10677.43,10597.05,10512.9,10354.59,10413.71,10319.08,10238.68,10201.86,10174.41,10122.75,10057.59,10055.77,10047.05,9967.603,9896.546,9844.057,9888.742,9926.395,9857.495,9896.36,9880.565,9895.784,10031.83,10185.12,10369.59,10699.67,10725.2,10833.58,10986.23,11099.12,11379.94,11971.49,12552.78,12806.37,12914.82,12989.11,13159.95,13345.53,13363.44,13470.59,13514.76,13598.9,13622.28,13647.31,13575.89,13394.12,13061.18,12678.65,12432.74,12215.63,12099.82,12013.07,11986.76,12028.84,12006.84,12093.09,12051.48,11977.04,11885.67,12002,12085.74,12093.61,12315.46,12501.18,12707.17,13010.48,13223.9,13500.07,13731.2,13693.07,13520.82,13300.33,13220.52,13305.42,13566.47,13571.65,13513.91,13396.9,13366.08,13321,13338.22,13316.61,13223.29,13252.05,13161.51,13025.58,12810.32,12560.08,12134.47,11819.17,11692.79,11706.78,11556.72,11201.44
2013/1/5,10995.21,10717.75,10641.52,10514.42,10354.04,10219.7,10098.14,10000.36,9961.147,9883.74,9846.199,9835.275,9849.052,9626.929,9726.968,9609.318,9581.968,9602.14,9649.36,9706.691,9669.624,9660.637,9810.834,9740.713,9797.027,10007.19,10147.36,10373.61,10496.89,10665.29,10824.07,10977.62,11281.31,11790.6,12317,12792.04,12889.89,12880.41,13017.4,13176.9,13298.13,13351.25,13391.33,13495.72,13461.47,13470.31,13458.19,13304.3,12967.14,12626.3,12465.63,12256.56,12109.75,12058.97,12115.9,12148.26,12128.23,12144.24,12162.91,12227.28,12185.28,12124.14,12279.38,12324.44,12396.48,12563.28,12967.05,13192.97,13356.73,13570.96,13770.52,13792.94,13450.37,13224.29,13216.88,13290.8,13538.94,13665.72,13689.36,13666.74,13509.66,13464.53,13478.8,13452.36,13385.42,13360.87,13252.62,13180.18,13021.17,12724.85,12412.96,12141.73,11913.54,11951.79,11629.73,11338.54
2013/1/6,11120.15,10853.29,10840.26,10689.4,10589.08,10505.62,10400.88,10287.05,10194.42,10117.56,10183.71,10133.33,10048.76,9996.047,10011.67,9950.417,9954.338,9878.176,9926.001,9904.431,9927.448,9895.568,9901.735,9881.408,9931.018,10088.74,10218,10371.7,10557.96,10671.77,10926.62,10996.2,11181,11682.95,12231.62,12631.27,12762.85,12717.59,12881.35,13009.29,13165.94,13158.58,13166.74,13289.96,13362.84,13365.3,13351.87,13242.77,12902.49,12586.73,12308.11,12204.1,12086.18,12110.17,12104.08,12095.33,12095.1,12150.7,12190.5,12164,12212.42,12245.05,12304.08,12343.11,12371.21,12656.3,12861.68,13103.29,13277.71,13516.89,13546.97,13509.09,13259.77,13028.56,12864.78,13058.34,13293.01,13475.89,13531.56,13470.3,13452.14,13430.87,13482.71,13420.19,13346.2,13343.82,13178.5,12985.9,12912.52,12607.9,12356.6,12022.69,11710.85,11846.31,11634.38,11326.59
2013/1/7,11107.02,10919.16,10823.38,10670.77,10566.94,10503.92,10380.94,10307.96,10162.53,10055.75,10045.05,9977.896,9913.235,9826.63,9731.053,9844.265,9768.967,9827.256,9771.022,9789.304,9790.304,9822.901,9873.689,9940.053,9947.928,10138.93,10352.98,10674.22,10743.85,10837.46,10974.72,11115.76,11326.07,11734.94,12275.29,12677.07,12791.67,12867.56,12888.45,13001.59,13151.87,13202.7,13309.47,13335.54,13531.57,13547.96,13519.15,13355.76,12982.58,12683.73,12552.93,12290.74,12160.48,12247.47,12205.52,12225.21,12173.8,12328.42,12358.23,12329.56,12417.39,12340.9,12440.68,12458.35,12506.92,12690.53,12955.58,13315.63,13651.04,13804.41,13926.25,13917.85,13653.93,13300.53,13260.82,13336.53,13661.84,13711.69,13787.71,13748.6,13570.29,13659.58,13640.13,13580.56,13499.26,13587.79,13388.39,13370.41,13108.16,12890.73,12570.65,12208.44,11972.13,12035.8,11806.41,11558.05
2013/1/8,11305.92,11086.95,11020.03,10942.19,10749.01,10644.01,10615.62,10469.14,10420.49,10397.87,10265.56,10244.25,10275.88,10182.94,10098.08,10059.89,10055.38,10045.28,10021.49,10115.8,10171.96,10164.59,10159.24,10182.92,10313.7,10479.81,10637.35,10873.64,11078.08,11190.88,11309.04,11402.16,11685.26,11987.91,12475.9,12902.12,13076.12,13103.5,13217.4,13305.48,13439.76,13489.11,13493.25,13653.24,13696.53,13844.3,13903.63,13631.31,13239.41,12929.97,12684.29,12498.42,12442.28,12501,12451.14,12448.14,12449.38,12505.37,12591.49,12630,12542.36,12540.12,12544.56,12722.08,12671.25,12905.72,13128.83,13500.79,13747.11,13930.02,14165.38,14196.45,13783.79,13609.74,13433.9,13579.64,13817.43,13951.76,13981.56,13950.22,13980.16,13986.01,14058.52,13961.4,13908.07,13913.73,13700.1,13561.24,13426.79,13118.7,12934.36,12592.86,12388.01,12352.07,12159.16,11832.04
2013/1/9,11608.46,11338.79,11331.98,11276.59,11012.53,10914.69,10835.57,10793.24,10678.87,10588.6,10505.07,10442.63,10484.04,10389.5,10374.56,10436.2,10343.31,10367.05,10402.11,10338.36,10427.68,10494.8,10418.56,10464.22,10564.16,10735.91,10835.15,11110.27,11262.48,11406.58,11557.15,11743.13,11952.05,12427.4,12947.5,13305.48,13462.06,13592.77,13738.53,13838.37,13918.33,13983.87,14238.17,14340.86,14429.8,14517.43,14519.17,14403.26,13955.59,13767.09,13533.89,13335.1,13233.63,13244.66,13304.99,13314.21,13358.28,13497.14,13470.89,13485.14,13472.89,13527.63,13528.42,13640.17,13703.7,13807.41,14133.93,14398.33,14622.38,14830.99,15013.91,15035.88,14778.98,14551.03,14550.92,14591.88,14786.82,14864.75,14951.22,14885.82,14878.36,14836.19,14776.56,14706.04,14603.7,14688.83,14461.37,14225.1,13961.76,13696.5,13363.16,12992.22,12817.16,12828.47,12582.16,12275.43
2013/1/10,11961.13,11769.45,11580.21,11401.78,11283.97,11183.65,11087.38,11084.56,10901.25,10830.91,10758.47,10706.71,10686.96,10653.7,10569.75,10640.85,10564.08,10508.39,10465.71,10437.58,10449.87,10434.61,10492.47,10565.89,10600.55,10711.69,10872.75,11107.49,11236.36,11469.34,11567.26,11747.54,11915.35,12413.45,12925.4,13436.28,13584.22,13701.65,13903.35,14095.22,14322.62,14482.15,14592.98,14707.36,14754.11,14797.92,14704.1,14517.69,14225.81,13876.12,13715.04,13505.95,13375.08,13339.03,13394,13459.62,13384.5,13465.97,13454.62,13470.92,13356.74,13468.24,13612.44,13689.3,13739.46,13868.87,14197.48,14459.98,14707.65,15065.33,15072.05,15015.19,14715.93,14492.94,14388.09,14472.29,14596.62,14686.19,14795.25,14719.97,14639.03,14669.02,14719.6,14622.19,14560.48,14550.43,14373.97,14189.14,13949.95,13672.11,13331.51,12979.57,12749.32,12678.68,12450.87,12089.98
