year,昆   明,曲   靖,玉   溪,保   山,昭   通,丽   江,普   洱,临   沧,楚   雄,红   河,文   山,西双版纳,大   理,德   宏,怒   江,迪   庆,全省
2010,11.44,10.7,3.91,4.67,5.73,2.49,5.15,4.22,5.93,7.48,6.03,1.95,6.96,3.05,0.96,0.92,80.67
2011,12.54,11.2,4.01,4.88,5.88,2.45,6.03,4.47,6.29,8.21,6.23,2.23,7.01,3.27,0.98,1.02,85.68
2012,13.64,11.7,4.11,4.97,6.27,2.75,7.5,4.86,6.77,8.81,6.54,2.61,7.1,3.43,0.96,1.17,92.02
2013,13.87,12.3,4.71,5.61,6.5,3.1,8.09,4.9,7.02,9.34,6.88,2.75,7.22,3.51,0.95,1.23,96.75
2014,11.44,12.8,4.95,6.07,6.77,3.26,8.76,5.05,7.35,9.87,6.97,2.9,7.46,3.66,0.96,1.37,98.27
2015,16.3,13.14,5.47,6.11,6.82,3.7,9.26,5.23,7.63,10.11,7.19,3.23,8.25,3.76,0.88,1.45,107.08
2016,16.8,13.24,5.47,6.26,6.82,3.75,9.28,5.28,7.71,10.15,7.22,3.23,8.35,3.77,0.91,1.45,108.24
2017,16.85,13.33,5.52,6.31,6.82,3.8,9.31,5.31,7.8,10.22,7.34,3.23,8.41,3.82,0.91,1.45,108.98
2018,16.87,13.54,5.71,6.52,7.14,3.82,9.42,5.37,7.87,10.35,7.5,3.34,8.49,3.87,0.92,1.5,110.73
2019,16.95,13.635,5.79,6.584,7.22,3.91,9.88,5.42,7.92,10.42,7.71,3.34,8.56,3.92,0.92,1.5,112.179
