STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
CHM00056778,"KUNMING, CH",1999/1/1,0,53,64,46
CHM00056778,"KUNMING, CH",1999/1/2,0.63,44,56,35
CHM00056778,"KUNMING, CH",1999/1/3,0.01,43,56,36
CHM00056778,"KUNMING, CH",1999/1/4,0,46,62,34
CHM00056778,"KUNMING, CH",1999/1/5,0,49,66,38
CHM00056778,"KUNMING, CH",1999/1/6,0,47,57,40
CHM00056778,"KUNMING, CH",1999/1/7,0,50,65,41
CHM00056778,"KUNMING, CH",1999/1/8,0,53,68,42
CHM00056778,"KUNMING, CH",1999/1/9,0,52,66,44
CHM00056778,"KUNMING, CH",1999/1/10,0.54,49,58,45
CHM00056778,"KUNMING, CH",1999/1/11,1.82,35,51,29
CHM00056778,"KUNMING, CH",1999/1/12,0,35,43,28
CHM00056778,"KUNMING, CH",1999/1/13,0,47,59,39
CHM00056778,"KUNMING, CH",1999/1/14,0.06,51,61,46
CHM00056778,"KUNMING, CH",1999/1/15,0,40,55,35
CHM00056778,"KUNMING, CH",1999/1/16,0.01,47,60,41
CHM00056778,"KUNMING, CH",1999/1/17,0,51,61,47
CHM00056778,"KUNMING, CH",1999/1/18,0,51,63,44
CHM00056778,"KUNMING, CH",1999/1/19,0,51,64,42
CHM00056778,"KUNMING, CH",1999/1/20,0,50,62,41
CHM00056778,"KUNMING, CH",1999/1/21,0,53,64,43
CHM00056778,"KUNMING, CH",1999/1/22,0,53,63,46
CHM00056778,"KUNMING, CH",1999/1/23,0,53,66,42
CHM00056778,"KUNMING, CH",1999/1/24,0,51,67,39
CHM00056778,"KUNMING, CH",1999/1/25,0,51,66,42
CHM00056778,"KUNMING, CH",1999/1/26,0,54,69,43
CHM00056778,"KUNMING, CH",1999/1/27,0,55,71,42
CHM00056778,"KUNMING, CH",1999/1/28,0,54,71,43
CHM00056778,"KUNMING, CH",1999/1/29,0,56,69,45
CHM00056778,"KUNMING, CH",1999/1/30,0,56,67,48
CHM00056778,"KUNMING, CH",1999/1/31,0,57,68,46
CHM00056778,"KUNMING, CH",1999/2/1,0,56,72,42
CHM00056778,"KUNMING, CH",1999/2/2,0,51,62,43
CHM00056778,"KUNMING, CH",1999/2/3,0,50,62,44
CHM00056778,"KUNMING, CH",1999/2/4,0,54,68,47
CHM00056778,"KUNMING, CH",1999/2/5,0,57,70,48
CHM00056778,"KUNMING, CH",1999/2/6,0,58,70,49
CHM00056778,"KUNMING, CH",1999/2/7,0,58,71,49
CHM00056778,"KUNMING, CH",1999/2/8,0,56,70,44
CHM00056778,"KUNMING, CH",1999/2/9,0,58,73,45
CHM00056778,"KUNMING, CH",1999/2/10,0,60,78,46
CHM00056778,"KUNMING, CH",1999/2/11,0,58,71,49
CHM00056778,"KUNMING, CH",1999/2/12,0,61,73,54
CHM00056778,"KUNMING, CH",1999/2/13,0,60,72,52
CHM00056778,"KUNMING, CH",1999/2/14,0,59,72,51
CHM00056778,"KUNMING, CH",1999/2/15,0,58,71,47
CHM00056778,"KUNMING, CH",1999/2/16,0,58,72,46
CHM00056778,"KUNMING, CH",1999/2/17,0,61,76,49
